local_id,tweet_id,data,Not Claim,Trait,Action,Support/Oppose,Prediction,Quantity,Causation/Correlation,Rule/Law,Quote,Other Claim,Comparision
4124,1475001158485880840,مانورهای نظامی سپاه در بحبوحه مذاکرات اتمی هم مضحک و هم بازی با آتش است خامنه‌ای نمی‌خواهد بپذیرد دوران مماشات در زمان اوباما تمام شده و اکنون در تعادل قوای داخلی با مردم و معادلات بین‌المللی میز جدیدی چیده شده و فاز سرنگونی رژیم جدی و واقعی است #قيام_تا_سرنگونی,0,1,1,0,1,0,1,0,0,0,0
4093,1402703775261986821,ما به جای آنکه برای مردم دست تکان دهیم، دست آنها را خواهیم گرفت.  در طرح #ایران_بدون_فقیر با بازگرداندن منابع کشور به خود مردم کاری میکنیم که کسی با شکم گرسنه سر بر بالین نگذارد؛ کسی به نان شب محتاج نباشد و مادری در برابر فرزندانش شرمنده نشود.,0,0,0,0,1,0,1,0,0,0,0
1187,1359443404413927426,امروز #روحانی درتلویزیون به نقل از #رهبرانقلاب گفت ازنظرایشان مشارکت مردم در #انتخابات مهم‌تر ازانتخاب درست است. مشکل این است:#آیت_الله_جنتی که مخاطب سخن است و باید با تصمیم خردمندانه درتاییدصلاحیتها زمینه مشارکت را فراهم آورد،وقتی حسن روحانی حرف می زند،تلویزیون را خاموش می کند!,0,0,0,1,0,0,1,0,1,0,1
4585,1259509384369094656,نور پهلوی: «کودکان کار و خیابان کشورمان، این روزها هم از خطر ابتلا به کرونا رنج می‌برند هم از بی‌توجهی گسترده. چرا در کشوری مثل ایران، ثروت ملی به جای اینکه خرج نجات کودکان بی‌پناه ما شود، صرف تروریسم می‌شود؟»,0,0,1,0,0,0,1,0,1,0,0
3398,1475425494048727046,ریچارد اوپنهایم سفیر انگلستان در #يمن گفت، پایان دادن به حملات حوثی‌ها به ثبات منطقه کمک می‌کند. حوثی‌ها با افزایش تنشها در استانهای حدیده، تعز و مأرب و هم‌چنین افزایش حملات به #عربستان درد و رنج مردم یمن را عمیق‌تر کرده‌اند.,0,0,1,0,0,0,1,0,1,0,1
4101,1400728619882852354,ما طلبه‌ها (و کل حوزه علمیه) باید اعلام شرمندگی کنیم که هنوز این جمله وصیت امام ره را تبیین و تبلیغ نکرده‌ایم: وصیت من به ملت شریف آن است که در تمام انتخابات ... در صحنه باشند. ... چه بسا که در بعضی مقاطع، عدم حضور و مسامحه گناهی باشد که در رأس گناهان کبیره است. #بزرگترین_گناه,1,0,0,0,0,0,0,0,0,0,0
4314,1363712390139936770,مطابق قانون مجلس، اجرای پروتکل الحاقی از روز ۵ اسفند به طور کامل متوقف خواهد شد و هر نوع دسترسی فراتر از پادمان مطلقاً ممنوع و غیرقانونی است. هر نوع همکاری فراپادمانی با آژانس در آینده نیز طبق ماده ۷ مستلزم تصمیم‌گیری مجلس است. ماده ۹ قانون، اجرای دقیق آن را تضمین خواهد کرد.,0,0,1,0,1,0,1,1,0,0,0
3584,1266294872106926083,شاید لازم شود زین پس بجای “جمعه نیست و شنبه است، تهران نیست و پاریس است.” از “شنبه نیست و هر روز است، پاریس نیست و #مینیاپولیس است“ استفاده کنیم. مکرو و مکر الله ...,1,0,0,0,0,0,0,0,0,0,0
977,1390957129922662403,"اصل نودو یکم قانون اساسی:""بمنظور پاسداری از احکام اسلام و قانون اساسی از نظرعدم مغایرت مصوبات مجلس با آنها، شورایی بنام شورای نگهبان تشکیل میشود"". اما شورا قانون را زیرپا گذارده وخودمصوبه تصویب کرده و آنرا برای اجرا بوزارت کشور ابلاغ کرده. قدرت بدون پاسخگویی مقدمه دیکتاتوری است.",0,0,0,0,0,0,1,1,0,0,1
837,1404516016642723851,ادعای انصراف #آیت_الله_رئیسی به نفع نامزدهای دیگر کذب محض و محصول اتاق فکر جریانی است که ملت شریف ایران پس از ۸ سال درد و رنج دست رد بر سینه و مشت بر دهان‌شان کوبیده است. مردم عزیز ایران مراقب دسیسه‌های عمروعاص‌های زمان باشند.,0,1,1,0,0,0,1,0,0,0,0
3882,1335159044647104513,قدرت سیاسی اگر از دل رقابت گفتمان‌ها بیرون نیاید چیزی جز ربایش شعارها از همدیگر نیست. احتمالا رقابتهای انتخاباتی چندان از این ابتذال سیاسی دور نباشد.,1,0,0,0,0,0,0,0,0,0,0
