id,post_id,post_text,reply_id,reply_text,Against,Support,Neither
4471,1540977338040581888,وظیفه خود در اجرایی کردن بخشنامه‌ها و فرامین حاکمان دانسته و عشق به نظام، وطن‌پرستی، دفاع از ایدئولوژی، تلاش برای تحقق رویاهای حکمرانی را چاشنی اقدامات خود کرده و تمامی این شرور و ظلم را با توجیه‌های وظیفه‌گرایی به ابتذال می‌کشاند. ۴/۹,1540977420563513088,عزل حسین طائب از ریاست اطلاعات سپاه بعنوان بمب خبری رسانه‌های داخلی و خارجی یادآور آیشمن در دادگاه اورشلیم بود. ۵/۹,0,1,0
5319,1494077275997888512,"کمیسیون اصل ۹۰ بعد از گذشت چندین ماه از طرح شکایت در مورد عدم پرداخت #حقوق_قانونی_سربازان قصد هیچ برخوردی ندارد؟
کسی قرار نیست به کمیسیون تلفیق هشدار بدهد؟

@dr_h_shojaey 
@ali_khezrian 

#سربازی_اجباری 
#شهروند_درجه_صفر",1494085073670447104,"  از کمیسیون اصل90 درخواست میکنیم درمورد درنظر نگرفتن #حقوق_قانونی سربازها به کمیسیون تلفیق هشدار بدهد. نمیشود که حقوق همه‌را درنظربگیرند ولی به سربازان که برسد چون به اجبار به خدمت گرفته میشن #حقوق_قانونی آنها پایمال بشه، این ظلم روی ظلمه، کاری بکنید..
 ",0,1,0
3741,1543639992110653440,"... انشاالله خدا او را به خاطر خدماتش بیامرزد. چند وقت پیش برای بازدید به ایران‌خودرو رفته بودم، هنوز ذکر خیرش بود.
البته هرکسی خطاهایی هم دارد. مثلاً جایی می‌گوید با هماهنگی صاحبان صنایع می‌خواستم کارگران را برای سرکوب مردم به خیابان بیاورم که شاه مخالفت کرد./۲",1543654831537127424,انسان‌ها مجموعه ای از رفتارهای صحیح و ناصحیح هستند.بعضی در زمان خودش صحیح جلوه میکنه ولی به مرور زمان اثرات نادرستش متبلور میشه و برعکس.فقط خوش بحال افرادی که بعدها و در گذشت زمان نام نیک ازشون به یادگار میمونه.همه یکروز میرن خوش بسعادت اونایی که یک امضای قشنگ از خودشون بجامیذارن,0,1,0
6272,1492293577556336640,"گزارش در مورد #عیسی_شریفی را در سال ۹۵ نوشتم و به جرات می‌توانم بگویم اولین گزارشی بود که در مورد عیسی شریفی نوشته شد. فردا بخشی از اسناد حسابرسی محرمانه دوران شهردای #قالیباف را منتشر خواهم کرد( احتمالا این اسناد در گذشته منتشر شده باشد).
",1492374723669413888,اما عیسی شریفی کرمانشاهی نیست!,0,0,1
1580,1545306680203812864,"تکمیلی/ تزریق مستمر خون به نخست‌وزیر سابق ژاپن

🔹 «نوبو کیشی» وزیر دفاع ژاپن گفت که «شینزو آبه» نخست‌وزیر سابق این کشور به دلیل خون زیادی که در پی ترور شدن از دست داده، در حال دریافت مستمر واحدهای خونی است.

",1545333584977879040,"نخست‌وزیر سابق ژاپن جان باخت

🔹 شبکه «اِن‌اِچ‌کِی» ژاپن رسماً تایید کرد که «شینزو آبه» نخست‌وزیر سابق این کشور بر اثر شدت جراحات وارده پس از سوءقصد به جانش حین سخنرانی انتخاباتی در شهر نارا، جان خود را از دست داده است.

",0,1,0
2967,1533910691433828352,"حتی مخالف ها و برانداز ها و کسایی که از اول مخالف رائفی پور بودن، تو جنگ بین رائفی پور و سلبریتی ها ته دلشون با رائفی پوره!
همه مردم به ذات کثیف سلبریتی ها (وطن فروش هاشون) پی بردن.
#قیام_مردم_علیه_سلبریتی_ها",1534325758721671168,اولا اینم مثل تمام مزخرفاتی که در مورد بازیگرا گفتید چرت و پرته!سلبریتیها نه وطن فروشی کردن نه پول بیت المال مفت خوردن!اگر میتونستید ثابت کنی توو مجازی دنبال یار گیری نبودید!بعد این قیام مردم شما توو توییتر!چه نفعی واسه مردم داره؟یه قیام مردمی واسه فساد سیستماتیک حکومت بهتر نیست!,1,0,0
2184,1542159600270692352,@Irannews1420 @BamaramSaeed یه مشنگ الکن و شش کلاس سواد را گیر آورده‌اند تا با استفاده از خریتش بخش دیگری از منافع ملی ایرانیان را غارت کنند,1542181588674428928,یکی نیست به این احمق بگه توان تاراج مال ملت و دودستی تقدیم کردن به اجنبی رو داشته باش پوتین اول بی محلی میکنه بعد با خردکردنت شروع میکنه چاپیدن,0,1,0
3050,1539595547253899264,وقتی چه در دنیای واقعی چه مجازی به انحای مختلف پا بلندی می‌کنی تا جلب توجه برای یک نفر کنی تا تو را ببیند ولی آن یک نفر بعد از بارها پا بلندی تو، تو را نادیده می‌گیرد و به تو بی توجهی می‌کند، ادامه پا بلندی از طرف تو، نوعی اختلال و ناهنجاری رفتاری در تو هست که باید بررسی شود,1539605773713657856,پس نتیجه میگیریم نیم بیشتری از شعرا با توصیفاتی که از روابطشون داشتن اختلال و ناهنجاری داشتن :)),1,0,0
5994,1493897044888596480,آقای #قالیباف!رییس مجلس شدید که حامی #محرومان باشید،دقیق بفرمایید که دراین مدت چند #طرح ارایه کردید؟ چند #لایحه تصویب شده؟ #مجلس قرار بود جلوی #گرانی را بگیرد،الان که گرانی زنجیرپاره کرده شمادقیقا کجایید؟چرا به همان سرعت که #هلدینگ_یاس را تشکیل دادید،مشکلات مردم را رفع نمیکنید؟,1493898259332481024,میگویند #قالیباف با ترفند شریفی را که پس از تخلفات میلیاردی #هلدینگ_یاس ازکشور فراری شده بود،بازگردانده واین را جزو افتخاراتش محسوب میکنند.عزیزان توجیه گر، #عیسی_شریفی راچه کسی گذاشته بود؟چه کسی #ضمانت کرده بود؟#قائم_مقام کدام #شهردار بود؟خودش دزدساخته، خودش گرفته؟ افتخارش چیست؟,0,1,0
5197,1493195507073789952,آقای شریعتمداری! شما که نگران وجهه سپاه هستید، به جای تکرار اتهامات موهوم، از قوه قضاییه بخواهید احکام صادره علیه مرتکبان فساد در بنیاد تعاون سپاه را منتشر کند و سیما محاکمات آنها از سیما پخش کند تا مردم طعم عدالت قضایی را احساس و به جای رسانه های بیگانه به رسانه ملی مراجعه کنند.,1493248285058166784,هیچوقت فکر نمیکردم لایکت کنم. ولی نبین کی میگه ببین چی میگه.. به مولا.,0,1,0
